[rosmaster.master][INFO] 2022-02-02 13:30:57,708: +PUB [/rosout] /rostopic_13268_1643808657552 http://ubuntu:32911/
[rosmaster.master][INFO] 2022-02-02 13:30:57,715: +SERVICE [/rostopic_13268_1643808657552/get_loggers] /rostopic_13268_1643808657552 http://ubuntu:32911/
[rosmaster.master][INFO] 2022-02-02 13:30:57,718: +SERVICE [/rostopic_13268_1643808657552/set_logger_level] /rostopic_13268_1643808657552 http://ubuntu:32911/
[rosmaster.master][INFO] 2022-02-02 13:30:57,730: +SUB [/sweeper_cmd_bt] /rostopic_13268_1643808657552 http://ubuntu:32911/
[rosmaster.master][INFO] 2022-02-02 13:30:57,803: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:33825/', 'http://ubuntu:32911/']
[rosmaster.master][INFO] 2022-02-02 13:30:57,807: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:33825/', 'http://ubuntu:32911/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 13:31:34,620: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 13:31:40,551: -SUB [/sweeper_cmd_bt] /rostopic_13268_1643808657552 http://ubuntu:32911/
[rosmaster.master][INFO] 2022-02-02 13:31:40,552: -PUB [/rosout] /rostopic_13268_1643808657552 http://ubuntu:32911/
[rosmaster.master][INFO] 2022-02-02 13:31:40,552: -SERVICE [/rostopic_13268_1643808657552/get_loggers] /rostopic_13268_1643808657552 rosrpc://ubuntu:41947
[rosmaster.master][INFO] 2022-02-02 13:31:40,553: -SERVICE [/rostopic_13268_1643808657552/set_logger_level] /rostopic_13268_1643808657552 rosrpc://ubuntu:41947
[rosmaster.master][INFO] 2022-02-02 13:31:40,566: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 13:31:40,591: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:33825/']
[rosmaster.master][INFO] 2022-02-02 13:31:40,592: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:33825/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 13:33:16,216: +PUB [/rosout] /rostopic_15066_1643808796058 http://ubuntu:33997/
[rosmaster.master][INFO] 2022-02-02 13:33:16,224: +SERVICE [/rostopic_15066_1643808796058/get_loggers] /rostopic_15066_1643808796058 http://ubuntu:33997/
[rosmaster.master][INFO] 2022-02-02 13:33:16,227: +SERVICE [/rostopic_15066_1643808796058/set_logger_level] /rostopic_15066_1643808796058 http://ubuntu:33997/
[rosmaster.master][INFO] 2022-02-02 13:33:16,239: +SUB [/sweeper_cmd_bt] /rostopic_15066_1643808796058 http://ubuntu:33997/
[rosmaster.master][INFO] 2022-02-02 13:33:16,269: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:33825/', 'http://ubuntu:33997/']
[rosmaster.master][INFO] 2022-02-02 13:33:16,274: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:33825/', 'http://ubuntu:33997/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 13:33:29,827: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 13:33:29,833: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 13:33:29,837: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 13:33:38,157: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 13:33:38,162: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 13:33:38,166: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 13:33:49,244: -SUB [/sweeper_cmd_bt] /rostopic_15066_1643808796058 http://ubuntu:33997/
[rosmaster.master][INFO] 2022-02-02 13:33:49,245: -PUB [/rosout] /rostopic_15066_1643808796058 http://ubuntu:33997/
[rosmaster.master][INFO] 2022-02-02 13:33:49,246: -SERVICE [/rostopic_15066_1643808796058/get_loggers] /rostopic_15066_1643808796058 rosrpc://ubuntu:46425
[rosmaster.master][INFO] 2022-02-02 13:33:49,247: -SERVICE [/rostopic_15066_1643808796058/set_logger_level] /rostopic_15066_1643808796058 rosrpc://ubuntu:46425
[rosmaster.master][INFO] 2022-02-02 13:33:49,333: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:33825/']
[rosmaster.master][INFO] 2022-02-02 13:33:49,335: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:33825/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 13:33:54,711: +PUB [/rosout] /rostopic_15583_1643808834555 http://ubuntu:44107/
[rosmaster.master][INFO] 2022-02-02 13:33:54,720: +SERVICE [/rostopic_15583_1643808834555/get_loggers] /rostopic_15583_1643808834555 http://ubuntu:44107/
[rosmaster.master][INFO] 2022-02-02 13:33:54,723: +SERVICE [/rostopic_15583_1643808834555/set_logger_level] /rostopic_15583_1643808834555 http://ubuntu:44107/
[rosmaster.master][INFO] 2022-02-02 13:33:54,733: +SUB [/sweeper_cmd_bt] /rostopic_15583_1643808834555 http://ubuntu:44107/
[rosmaster.master][INFO] 2022-02-02 13:33:54,745: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:33825/', 'http://ubuntu:44107/']
[rosmaster.master][INFO] 2022-02-02 13:33:54,749: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:33825/', 'http://ubuntu:44107/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 13:35:44,553: -SUB [/tf_static] /link_ros http://ubuntu:33825/
[rosmaster.master][INFO] 2022-02-02 13:35:44,554: -SUB [/sweeper_cmd_bt] /link_ros http://ubuntu:33825/
[rosmaster.master][INFO] 2022-02-02 13:35:44,554: -SUB [/tf] /link_ros http://ubuntu:33825/
[rosmaster.master][INFO] 2022-02-02 13:35:44,555: -SUB [/rosout_agg] /link_ros http://ubuntu:33825/
[rosmaster.master][INFO] 2022-02-02 13:35:44,555: -PUB [/sweeper_cmd_bt] /link_ros http://ubuntu:33825/
[rosmaster.master][INFO] 2022-02-02 13:35:44,556: -PUB [/rosout] /link_ros http://ubuntu:33825/
[rosmaster.master][INFO] 2022-02-02 13:35:44,556: -SERVICE [/link_ros/get_loggers] /link_ros rosrpc://ubuntu:34671
[rosmaster.master][INFO] 2022-02-02 13:35:44,556: -SERVICE [/link_ros/tf2_frames] /link_ros rosrpc://ubuntu:34671
[rosmaster.master][INFO] 2022-02-02 13:35:44,557: -SERVICE [/link_ros/set_logger_level] /link_ros rosrpc://ubuntu:34671
[rosmaster.master][INFO] 2022-02-02 13:35:44,561: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:44107/']
[rosmaster.master][INFO] 2022-02-02 13:35:44,562: publisherUpdate[/sweeper_cmd_bt] -> http://ubuntu:44107/ []
[rosmaster.master][INFO] 2022-02-02 13:35:44,564: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:44107/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 13:35:44,569: publisherUpdate[/sweeper_cmd_bt] -> http://ubuntu:44107/ []: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 13:35:55,687: +PUB [/rosout] /link_ros http://ubuntu:40919/
[rosmaster.master][INFO] 2022-02-02 13:35:55,693: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:44107/', 'http://ubuntu:40919/']
[rosmaster.master][INFO] 2022-02-02 13:35:55,697: +SERVICE [/link_ros/get_loggers] /link_ros http://ubuntu:40919/
[rosmaster.master][INFO] 2022-02-02 13:35:55,699: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:44107/', 'http://ubuntu:40919/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 13:35:55,702: +SERVICE [/link_ros/set_logger_level] /link_ros http://ubuntu:40919/
[rosmaster.master][INFO] 2022-02-02 13:35:56,360: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 13:35:56,378: +SUB [/rosout_agg] /link_ros http://ubuntu:40919/
